	word pair	human	score	difference
30	('television', 'film')	7.72	4.919567108154297	2.800432891845703
31	('psychology', 'mind')	7.69	2.7444031834602356	4.945596816539765
32	('game', 'team')	7.69	4.499642550945282	3.1903574490547184
33	('admission', 'ticket')	7.69	4.483394920825958	3.206605079174042
34	('Jerusalem', 'Palestinian')	7.65	5.686084032058716	1.9639159679412845
35	('Arafat', 'terror')	7.65	2.3570936918258667	5.292906308174134
36	('computer', 'keyboard')	7.62	4.810879230499268	2.8091207695007325
37	('boxing', 'round')	7.61	2.4467484652996063	5.163251534700394
38	('computer', 'internet')	7.58	4.790840148925781	2.789159851074219
39	('money', 'property')	7.57	2.27291539311409	5.29708460688591
40	('tennis', 'racket')	7.56	4.5940035581588745	2.965996441841125
41	('canyon', 'landscape')	7.53	3.4373360872268677	4.092663912773133
42	('day', 'dawn')	7.53	4.656001925468445	2.8739980745315554
43	('telephone', 'communication')	7.5	4.20893132686615	3.29106867313385
44	('currency', 'market')	7.5	3.247915506362915	4.252084493637085
45	('psychology', 'cognition')	7.48	5.038174390792847	2.4418256092071537
46	('seafood', 'sea')	7.47	3.896467387676239	3.5735326123237607
47	('book', 'paper')	7.46	3.9607244729995728	3.499275527000427
48	('book', 'library')	7.46	4.031935036182404	3.4280649638175964
49	('psychology', 'depression')	7.42	3.3746767044067383	4.045323295593262
50	('fighting', 'defeating')	7.41	4.071117341518402	3.338882658481598
51	('movie', 'star')	7.38	3.631903827190399	3.7480961728096007
52	('hundred', 'percent')	7.38	3.961912989616394	3.418087010383606
53	('dollar', 'profit')	7.38	3.3430373668670654	4.0369626331329345
54	('country', 'citizen')	7.31	3.710941970348358	3.5990580296516415
55	('money', 'possession')	7.29	2.1216832101345062	5.168316789865494
56	('cup', 'drink')	7.25	4.501530826091766	2.7484691739082336
57	('psychology', 'health')	7.23	3.0639907717704773	4.166009228229523
58	('summer', 'drought')	7.16	3.2747873663902283	3.885212633609772
59	('investor', 'earning')	7.13	1.8327441811561584	5.2972558188438414
60	('company', 'stock')	7.08	3.3264100551605225	3.7535899448394776
61	('stroke', 'hospital')	7.03	2.52731591463089	4.50268408536911
62	('liability', 'insurance')	7.03	4.879122376441956	2.1508776235580447
63	('game', 'victory')	7.03	3.4350627660751343	3.594937233924866
64	('psychology', 'anxiety')	7.0	3.4842002391815186	3.5157997608184814
65	('game', 'defeat')	6.97	3.276800513267517	3.6931994867324827
66	('FBI', 'fingerprint')	6.94	3.1342971324920654	3.805702867507935
67	('money', 'withdrawal')	6.88	1.7899730801582336	5.090026919841766
68	('psychology', 'fear')	6.85	2.1328578889369965	4.717142111063003
69	('drug', 'abuse')	6.85	3.908522129058838	2.9414778709411618
70	('concert', 'virtuoso')	6.81	3.165966272354126	3.6440337276458736
71	('computer', 'laboratory')	6.78	3.1263762712478638	3.6536237287521365
72	('love', 'sex')	6.77	2.6174551248550415	4.152544875144958
73	('problem', 'challenge')	6.75	3.386680483818054	3.363319516181946
74	('movie', 'critic')	6.73	2.8063473105430603	3.92365268945694
75	('Arafat', 'peace')	6.73	2.62681245803833	4.10318754196167
76	('bed', 'closet')	6.72	4.041265249252319	2.6787347507476804
77	('lawyer', 'evidence')	6.69	1.7672818899154663	4.922718110084534
78	('fertility', 'egg')	6.69	2.9400745034217834	3.749925496578217
79	('precedent', 'law')	6.65	3.667035698890686	2.9829643011093143
80	('minister', 'party')	6.63	2.420494556427002	4.209505443572998
81	('psychology', 'clinic')	6.58	2.1652358770370483	4.414764122962952
82	('cup', 'coffee')	6.58	5.6549787521362305	0.9250212478637696
83	('water', 'seepage')	6.56	4.773363173007965	1.7866368269920345
84	('government', 'crisis')	6.56	3.2084262371063232	3.3515737628936764
85	('space', 'world')	6.53	2.1641866862773895	4.365813313722611
86	('dividend', 'calculation')	6.48	2.464226335287094	4.015773664712906
87	('victim', 'emergency')	6.47	1.7652903497219086	4.704709650278091
88	('luxury', 'car')	6.47	3.4254318475723267	3.044568152427673
89	('tool', 'implement')	6.46	2.8894639015197754	3.5705360984802246
90	('competition', 'price')	6.44	2.7860650420188904	3.65393495798111
91	('psychology', 'doctor')	6.42	1.958976686000824	4.461023313999176
92	('gender', 'equality')	6.41	5.249226093292236	1.1607739067077638
93	('listing', 'category')	6.38	3.3322912454605103	3.0477087545394896
94	('video', 'archive')	6.34	3.2245832681655884	3.1154167318344115
95	('oil', 'stock')	6.34	2.4808798730373383	3.8591201269626616
96	('governor', 'office')	6.34	3.6297351121902466	2.7102648878097533
97	('discovery', 'space')	6.34	1.6885516047477722	4.651448395252228
98	('record', 'number')	6.31	2.90463387966156	3.4053661203384396
99	('brother', 'monk')	6.27	3.0170881748199463	3.2529118251800533
100	('production', 'crew')	6.25	2.835201323032379	3.414798676967621
101	('nature', 'man')	6.25	2.351344972848892	3.898655027151108
102	('family', 'planning')	6.25	2.6735931634902954	3.5764068365097046
103	('disaster', 'area')	6.25	2.1291470527648926	4.120852947235107
104	('food', 'preparation')	6.22	3.029662072658539	3.190337927341461
105	('preservation', 'world')	6.19	0.9250840544700623	5.264915945529938
106	('movie', 'popcorn')	6.19	4.576433002948761	1.6135669970512394
107	('lover', 'quarrel')	6.19	3.5044127702713013	2.685587229728699
108	('game', 'series')	6.19	3.241877555847168	2.9481224441528324
109	('dollar', 'loss')	6.09	1.8645104765892029	4.225489523410797
110	('weapon', 'secret')	6.06	3.7306973338127136	2.329302666187286
111	('shower', 'flood')	6.03	1.471891850233078	4.558108149766922
112	('registration', 'arrangement')	6.0	2.15690016746521	3.84309983253479
113	('arrival', 'hotel')	6.0	2.495379149913788	3.504620850086212
114	('announcement', 'warning')	6.0	3.411356806755066	2.588643193244934
115	('game', 'round')	5.97	2.6109814643859863	3.3590185356140134
116	('baseball', 'season')	5.97	2.9556483030319214	3.0143516969680784
117	('drink', 'mouth')	5.96	2.645008862018585	3.3149911379814148
118	('life', 'lesson')	5.94	2.821284532546997	3.1187154674530033
119	('grocery', 'money')	5.94	2.056646943092346	3.883353056907654
120	('energy', 'crisis')	5.94	2.3290684819221497	3.6109315180778507
121	('reason', 'criterion')	5.91	3.494970202445984	2.4150297975540163
122	('equipment', 'maker')	5.91	2.5527799129486084	3.3572200870513917
123	('cup', 'liquid')	5.9	3.2115155458450317	2.6884844541549686
124	('deployment', 'withdrawal')	5.88	3.417385220527649	2.462614779472351
125	('tiger', 'zoo')	5.87	4.476149678230286	1.3938503217697145
126	('journey', 'car')	5.85	2.1188560128211975	3.731143987178802
127	('planet', 'people')	5.75	2.5077831745147705	3.2422168254852295
128	('money', 'laundering')	5.65	4.004639685153961	1.6453603148460392
129	('OPEC', 'country')	5.63	1.959930658340454	3.670069341659546
130	('summer', 'nature')	5.63	1.3502717018127441	4.279728298187256
131	('decoration', 'valor')	5.63	2.8006142377853394	2.8293857622146605
132	('Mars', 'scientist')	5.63	2.321334332227707	3.308665667772293
133	('alcohol', 'chemistry')	5.54	2.647908926010132	2.892091073989868
134	('disability', 'death')	5.47	3.279845416545868	2.190154583454132
135	('change', 'attitude')	5.44	4.0615516901016235	1.3784483098983769
136	('arrangement', 'accommodation')	5.41	3.3030492067337036	2.1069507932662965
137	('territory', 'surface')	5.34	2.053084373474121	3.2869156265258788
138	('size', 'prominence')	5.31	2.152981162071228	3.1570188379287716
139	('exhibit', 'memorabilia')	5.31	3.240566849708557	2.0694331502914425
140	('credit', 'information')	5.31	2.6596790552139282	2.6503209447860714
141	('territory', 'kilometer')	5.28	2.75804340839386	2.5219565916061404
142	('death', 'row')	5.25	2.048470228910446	3.201529771089554
143	('doctor', 'liability')	5.19	0.7258456945419312	4.464154305458069
144	('impartiality', 'interest')	5.16	2.7167150378227234	2.4432849621772768
145	('energy', 'laboratory')	5.09	1.4770424365997314	3.6129575634002684
146	('secretary', 'senate')	5.06	3.9810168743133545	1.0789831256866451
147	('death', 'inmate')	5.03	3.0429670214653015	1.9870329785346987
148	('monk', 'oracle')	5.0	2.339664250612259	2.660335749387741
149	('cup', 'food')	5.0	1.7177686095237732	3.282231390476227
150	('journal', 'association')	4.97	2.1352000534534454	2.8347999465465543
151	('street', 'children')	4.94	1.673077791929245	3.2669222080707554
152	('car', 'flight')	4.94	2.7596914768218994	2.180308523178101
153	('space', 'chemistry')	4.88	1.1304019391536713	3.7495980608463286
154	('situation', 'conclusion')	4.81	2.9168838262557983	1.8931161737442013
155	('word', 'similarity')	4.75	2.4451160430908203	2.3048839569091797
156	('peace', 'plan')	4.75	1.5065255761146545	3.2434744238853455
157	('consumer', 'energy')	4.75	2.701040208339691	2.048959791660309
158	('ministry', 'culture')	4.69	2.257077693939209	2.4329223060607914
159	('smart', 'student')	4.62	1.5636251866817474	3.0563748133182527
160	('investigation', 'effort')	4.59	3.2273799180984497	1.3626200819015502
161	('image', 'surface')	4.56	2.14318186044693	2.4168181395530697
162	('life', 'term')	4.5	1.9842226803302765	2.5157773196697235
163	('start', 'match')	4.47	2.5580227375030518	1.911977262496948
164	('computer', 'news')	4.47	1.1610274016857147	3.308972598314285
165	('board', 'recommendation')	4.47	2.7191847562789917	1.750815243721008
166	('lad', 'brother')	4.46	4.162097275257111	0.29790272474288937
167	('observation', 'architecture')	4.38	1.615397036075592	2.764602963924408
168	('coast', 'hill')	4.38	3.4121406078338623	0.9678593921661376
169	('deployment', 'departure')	4.25	2.247721552848816	2.002278447151184
170	('benchmark', 'index')	4.25	4.442073106765747	0.19207310676574707
171	('attempt', 'peace')	4.25	1.1008375883102417	3.1491624116897583
172	('consumer', 'confidence')	4.13	2.141018658876419	1.9889813411235808
173	('start', 'year')	4.06	3.6257481575012207	0.4342518424987789
174	('focus', 'life')	4.06	2.17287614941597	1.8871238505840298
175	('development', 'issue')	3.97	1.525220274925232	2.4447797250747683
176	('day', 'summer')	3.94	4.770900011062622	0.8309000110626221
177	('theater', 'history')	3.91	2.054455876350403	1.8555441236495973
178	('situation', 'isolation')	3.88	3.103276491165161	0.7767235088348388
179	('profit', 'warning')	3.88	1.3748699426651	2.5051300573349
180	('media', 'trading')	3.88	1.5435561537742615	2.3364438462257384
181	('chance', 'credibility')	3.88	2.8317874670028687	1.0482125329971312
182	('precedent', 'information')	3.85	1.5483593940734863	2.3016406059265138
183	('architecture', 'century')	3.78	1.7842650413513184	1.9957349586486814
184	('population', 'development')	3.75	2.4159058928489685	1.3340941071510315
185	('stock', 'live')	3.73	0.9447298943996429	2.785270105600357
186	('peace', 'atmosphere')	3.69	2.248034179210663	1.441965820789337
187	('morality', 'marriage')	3.69	3.2448992133140564	0.44510078668594355
188	('minority', 'peace')	3.69	1.0021048039197922	2.6878951960802078
189	('atmosphere', 'landscape')	3.69	2.3639559745788574	1.3260440254211425
190	('report', 'gain')	3.63	0.5226655304431915	3.1073344695568084
191	('music', 'project')	3.63	1.5285103023052216	2.1014896976947783
192	('seven', 'series')	3.56	2.8077176213264465	0.7522823786735535
193	('experience', 'music')	3.47	1.9409944117069244	1.5290055882930758
194	('school', 'center')	3.44	2.056262791156769	1.3837372088432311
195	('five', 'month')	3.38	4.264117479324341	0.8841174793243409
196	('announcement', 'production')	3.38	1.7963135242462158	1.583686475753784
197	('morality', 'importance')	3.31	3.0631619691848755	0.24683803081512457
198	('money', 'operation')	3.31	1.4320065081119537	1.8779934918880463
199	('delay', 'news')	3.31	1.5927058458328247	1.7172941541671753
200	('governor', 'interview')	3.25	1.5313902497291565	1.7186097502708435
201	('practice', 'institution')	3.19	2.117968499660492	1.072031500339508
202	('century', 'nation')	3.16	2.719743847846985	0.4402561521530153
203	('coast', 'forest')	3.15	2.8538289666175842	0.2961710333824157
204	('shore', 'woodland')	3.08	2.425057142972946	0.6549428570270539
205	('drink', 'car')	3.04	2.6728975772857666	0.36710242271423343
206	('president', 'medal')	3.0	1.7651858925819397	1.2348141074180603
207	('prejudice', 'recognition')	3.0	1.7711836099624634	1.2288163900375366
208	('viewer', 'serial')	2.97	1.475003957748413	1.494996042251587
209	('peace', 'insurance')	2.94	1.4293143153190613	1.5106856846809387
210	('Mars', 'water')	2.94	1.1093893647193909	1.830610635280609
211	('media', 'gain')	2.88	1.2345150858163834	1.6454849141836165
212	('precedent', 'cognition')	2.81	0.6607191264629364	2.1492808735370637
213	('announcement', 'effort')	2.75	2.2621795535087585	0.48782044649124146
214	('line', 'insurance')	2.69	0.9344910085201263	1.7555089914798736
215	('crane', 'implement')	2.69	0.5495364591479301	2.14046354085207
216	('drink', 'mother')	2.65	1.4162246882915497	1.2337753117084502
217	('opera', 'industry')	2.63	1.655634492635727	0.974365507364273
218	('volunteer', 'motto')	2.56	1.782519668340683	0.7774803316593171
219	('listing', 'proximity')	2.56	1.9707481563091278	0.5892518436908722
220	('precedent', 'collection')	2.5	1.4496718347072601	1.0503281652927399
221	('cup', 'article')	2.4	0.6950614601373672	1.7049385398626327
222	('sign', 'recess')	2.38	0.7738950848579407	1.6061049151420592
223	('problem', 'airport')	2.38	0.9640510380268097	1.4159489619731902
224	('reason', 'hypertension')	2.31	0.60155238956213	1.70844761043787
225	('direction', 'combination')	2.25	1.8651968240737915	0.3848031759262085
226	('Wednesday', 'news')	2.22	2.3882409930229187	0.1682409930229185
227	('glass', 'magician')	2.08	1.1991187185049057	0.8808812814950944
228	('cemetery', 'woodland')	2.08	2.997784912586212	0.9177849125862121
229	('possibility', 'girl')	1.94	0.7836984097957611	1.1563015902042388
230	('cup', 'substance')	1.92	1.3158202171325684	0.6041797828674316
231	('forest', 'graveyard')	1.85	2.878362536430359	1.0283625364303588
232	('stock', 'egg')	1.81	1.1596130579710007	0.6503869420289994
233	('month', 'hotel')	1.81	0.9537050127983093	0.8562949872016907
234	('energy', 'secretary')	1.81	1.4558133482933044	0.3541866517066956
235	('precedent', 'group')	1.77	1.0306136310100555	0.7393863689899445
236	('production', 'hike')	1.75	0.3265465423464775	1.4234534576535225
237	('stock', 'phone')	1.62	1.6040852665901184	0.0159147334098817
238	('holy', 'sex')	1.62	1.8664133548736572	0.24641335487365712
239	('stock', 'CD')	1.31	0.6380093842744827	0.6719906157255173
240	('drink', 'ear')	1.31	0.9571658074855804	0.3528341925144196
241	('delay', 'racism')	1.19	0.7704529166221619	0.4195470833778381
242	('stock', 'life')	0.92	1.1362776160240173	0.2162776160240173
243	('stock', 'jaguar')	0.92	1.2185458838939667	0.29854588389396663
244	('monk', 'slave')	0.92	2.0979350805282593	1.1779350805282593
245	('lad', 'wizard')	0.92	3.244604766368866	2.324604766368866
246	('sugar', 'approach')	0.88	-0.20825861021876335	1.0882586102187632
247	('rooster', 'voyage')	0.62	0.044583603739738464	0.5754163962602615
248	('noon', 'string')	0.54	-0.10279310867190361	0.6427931086719036
249	('chord', 'smile')	0.54	1.2412768602371216	0.7012768602371215
250	('professor', 'cucumber')	0.31	0.8853252232074738	0.5753252232074737
251	('king', 'cabbage')	0.23	1.9205094873905182	1.6905094873905182
